Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C104, C105, C107, C109, C11, C111, C112, C114, C115, C116, C117, C118, C121, C129, C130, C131, C139, C144, C15, C3, C5, C6, C7, C8, C9",0603,27,0.1uF,
"C101, C102",0805,2,22uF,
C103,0805,1,10uF,
"C106, C108, C12, C4",0603,4,4.7uF,
C110,0603,1,220pF,
"C119, C120",0603,2,20pF,
"C122, C123, C125, C2",0603,4,1uF,
C13,0603,1,10nF,
C14,0603,1,10pF,
"D101, D103",LED_D3.0mm_Clear,2,LED,
F1,0603,1,500mA,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,
J102,PinHeader_2x05_P1.27mm_Vertical,1,JTAG,
J103,IDC-Header_2x10_P2.54mm_Horizontal,1,IDC,
L101,L_Sunlord_SWPA3012S,1,4.7uH,
Q1,SOT-23-3,1,SI2305,
Q104,SOT-23-3,1,AO3400A,
"R1, R2",0603,2,5.1K,
"R10, R13",0603,2,4.7K,
"R101, R103, R104, R110, R117, R133, R4, R5, R8",0603,9,10K,
"R107, R109",0603,2,3.3K,
R113,0603,1,1K,
"R12, R125, R127, R128, R129, R130, R3",0603,7,22R,
"R6, R7",0603,2,33R,
U1,SOT-23-3,1,XC6206P332MR,
U101,QFN-48-1EP_6x6mm_P0.4mm_EP4.2x4.2mm,1,HPM5301IEG1,
U102,SOT-23-6,1,USBLC6-2SC6,
"U103, U110, U111, U112, U113, U3",SOT-23-6,6,SN74LVC1T45DBV,
U105,SOT-23-6,1,TPS22918DBV,
U2,SOT-23-5,1,LMV321,
Y101,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,24MHz,
