Designator,Mid X,Mid Y,Rotation,Layer
C1,78.05,-149.65,270.0,top
C10,76.6,-152.0,180.0,top
C101,65.0,-149.55,90.0,top
C102,67.0,-149.55,90.0,top
C103,73.8,-149.65,270.0,top
C104,75.45,-149.65,270.0,top
C105,64.7,-146.75,180.0,top
C106,64.7,-145.45,180.0,top
C107,72.15,-149.35,270.0,top
C108,76.75,-149.65,270.0,top
C109,78.3,-142.75,0.0,top
C11,63.0,-152.0,180.0,top
C110,57.25,-155.45,90.0,top
C111,80.0,-152.0,180.0,top
C112,80.0,-157.4,180.0,top
C114,69.1,-135.65,90.0,top
C115,78.3,-141.45,0.0,top
C116,78.3,-145.35,0.0,top
C117,64.7,-144.15,180.0,top
C118,64.7,-139.8,180.0,top
C119,79.5,-133.35,180.0,top
C12,83.45,-150.7,0.0,top
C120,76.7,-135.8,90.0,top
C121,62.05,-149.95,90.0,top
C122,84.9,-141.8,180.0,top
C123,84.9,-136.4,180.0,top
C125,59.6,-158.7,180.0,top
C129,64.7,-141.1,180.0,top
C13,85.8,-152.85,90.0,top
C130,78.3,-140.15,0.0,top
C131,78.3,-144.05,0.0,top
C139,73.2,-157.4,180.0,top
C14,87.1,-152.85,90.0,top
C144,76.6,-157.4,180.0,top
C15,63.0,-157.4,180.0,top
C2,86.45,-148.15,270.0,top
C3,69.8,-157.4,180.0,top
C4,59.6,-152.0,180.0,top
C5,66.4,-157.4,180.0,top
C6,83.45,-152.0,0.0,top
C7,66.4,-152.0,180.0,top
C8,69.8,-152.0,180.0,top
C9,73.2,-152.0,180.0,top
D101,54.5,-162.15,0.0,top
D103,88.5,-162.15,180.0,top
F1,84.9,-135.0,180.0,top
J1,71.5,-129.0525,180.0,top
J102,57.085,-139.94,0.0,top
J103,71.5,-161.9175,270.0,top
L101,69.75,-149.55,90.0,top
Q1,83.7,-148.35,0.0,top
Q104,59.3,-149.6,180.0,top
R1,73.85,-135.65,270.0,top
R10,57.65,-158.05,270.0,top
R101,63.35,-149.95,270.0,top
R103,64.7,-142.4,180.0,top
R104,62.75,-144.8,270.0,top
R107,57.6,-162.15,270.0,top
R109,85.4,-162.15,270.0,top
R110,57.25,-152.85,270.0,top
R113,59.6,-157.4,0.0,top
R117,80.0,-147.7,180.0,top
R12,63.0,-158.7,180.0,top
R125,55.85,-152.85,90.0,top
R127,76.6,-158.7,0.0,top
R128,73.2,-158.7,0.0,top
R129,69.8,-158.7,0.0,top
R13,56.6,-149.6,90.0,top
R130,66.4,-158.7,0.0,top
R133,79.35,-149.65,270.0,top
R2,65.4,-133.0,270.0,top
R3,80.0,-158.7,0.0,top
R4,83.4,-158.7,180.0,top
R5,85.35,-158.05,90.0,top
R6,86.45,-150.9,180.0,top
R7,80.65,-149.65,90.0,top
R8,85.8,-155.45,90.0,top
U1,84.9,-139.1,270.0,top
U101,71.5,-143.1,90.0,top
U102,71.5,-136.4,90.0,top
U103,80.0,-154.7,90.0,top
U105,59.6,-154.7,90.0,top
U110,76.6,-154.7,90.0,top
U111,73.2,-154.7,90.0,top
U112,69.8,-154.7,90.0,top
U113,66.4,-154.7,90.0,top
U2,83.4,-154.7,270.0,top
U3,63.0,-154.7,90.0,top
Y101,79.5,-135.8,0.0,top
